City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Greenwood,34.1668,-82.1165,39.99,65,90,3.44,US,1612074189
Turaif,31.6725,38.6637,42.8,70,0,13.8,SA,1612074218
Mabaruma,8.2,-59.7833,72.54,98,41,3.02,GY,1612074218
Barrow,71.2906,-156.7887,-18.4,69,90,8.05,US,1612074219
Nemuro,43.3236,145.575,24.8,50,20,10.36,JP,1612074219
Rikitea,-23.1203,-134.9692,79.38,74,39,9.57,PF,1612074219
Butaritari,3.0707,172.7902,81.46,79,80,15.5,KI,1612074575
Luanda,-8.8368,13.2343,78.8,83,75,5.75,AO,1612074332
Jamestown,42.097,-79.2353,21.0,73,90,6.91,US,1612074219
Ascension,30.2169,-90.9001,68.0,83,90,5.75,US,1612074219
Hobart,-42.8794,147.3294,70.0,48,75,11.5,AU,1612074132
Owerri,5.4833,7.0304,73.4,100,90,1.5,NG,1612074219
Saskylakh,71.9167,114.0833,-32.21,83,100,8.59,RU,1612074576
Kruisfontein,-34.0033,24.7314,73.0,68,0,1.99,ZA,1612074576
Tiksi,71.6872,128.8694,-26.45,86,100,4.81,RU,1612074576
Karratha,-20.7377,116.8463,97.48,35,89,8.48,AU,1612074576
Sioux Lookout,50.1001,-91.917,21.2,93,90,5.75,CA,1612074220
Lagoa,39.05,-27.9833,61.68,95,59,22.95,PT,1612074577
Dikson,73.5069,80.5464,-32.49,79,2,4.81,RU,1612074577
Qui Nhon,13.7667,109.2333,75.83,77,100,14.0,VN,1612074577
Mahibadhoo,3.7833,72.9667,82.06,73,35,11.05,MV,1612074404
Gerede,40.8008,32.1969,29.16,99,94,4.03,TR,1612074578
Tasiilaq,65.6145,-37.6368,17.6,53,75,3.44,GL,1612074578
Nanortalik,60.1432,-45.2371,28.36,90,100,6.13,GL,1612074221
Leningradskiy,69.3833,178.4167,-26.81,82,10,4.54,RU,1612074221
Slave Lake,55.2834,-114.769,3.2,85,1,10.36,CA,1612074222
Tanout,14.9709,8.8879,57.94,32,18,11.21,NE,1612074222
Albany,42.6001,-73.9662,9.0,59,29,4.03,US,1612074222
Kupang,-10.1667,123.5833,82.4,83,90,13.8,ID,1612074222
Madimba,-10.4,40.3333,80.47,85,98,10.71,TZ,1612074223
Ushuaia,-54.8,-68.3,46.4,71,0,6.91,AR,1612073937
Saint Paul Harbor,57.79,-152.4072,28.4,50,1,19.57,US,1612074223
Saint-Pierre,-21.3393,55.4781,89.6,58,0,20.71,RE,1612074223
Marabá,-5.3686,-49.1178,75.2,100,75,2.3,BR,1612074223
Port Alfred,-33.5906,26.891,75.0,77,42,2.98,ZA,1612074223
La Santisima Trinidad,-14.8333,-64.9,73.53,94,57,3.94,BO,1612074225
Yatou,37.15,122.3833,48.67,57,28,15.79,CN,1612074097
Coquimbo,-29.9533,-71.3436,64.4,88,0,4.61,CL,1612074196
Shizunai-furukawachō,42.3339,142.3669,27.36,89,94,24.79,JP,1612074225
Mar del Plata,-38.0023,-57.5575,60.01,58,75,13.8,AR,1612073966
Camocim,-2.9022,-40.8411,76.89,88,100,9.46,BR,1612074225
Busselton,-33.65,115.3333,93.0,29,0,3.0,AU,1612074298
Vaini,-21.2,-175.2,78.8,94,75,5.75,TO,1612074225
Majene,-3.5403,118.9707,88.03,52,100,7.85,ID,1612074226
Hithadhoo,-0.6,73.0833,82.09,78,39,14.99,MV,1612074226
Oistins,13.0667,-59.5333,78.8,73,40,21.85,BB,1612074226
Ribeira Grande,38.5167,-28.7,62.89,94,94,17.05,PT,1612074226
La Palma,33.8464,-118.0467,51.8,100,1,3.74,US,1612074226
Arawa,-6.2132,155.5367,84.2,65,100,10.83,PG,1612074227
Harper,4.375,-7.7169,78.19,89,44,6.53,LR,1612074227
Tuktoyaktuk,69.4541,-133.0374,-32.8,68,40,3.44,CA,1612074044
Jiangyan,32.5061,120.1428,55.0,99,99,4.81,CN,1612074228
Kaitangata,-46.2817,169.8464,62.01,84,100,5.01,NZ,1612074059
Xining,36.6167,101.7667,28.74,61,9,3.58,CN,1612074228
Faanui,-16.4833,-151.75,82.44,70,99,9.66,PF,1612074228
Okhotsk,59.3833,143.3,-5.42,82,0,15.99,RU,1612074228
Kapaa,22.0752,-159.319,71.6,83,75,18.41,US,1612074180
Omsukchan,62.5333,155.8,-30.96,81,100,13.02,RU,1612074228
Port Elizabeth,-33.918,25.5701,71.6,64,0,8.05,ZA,1612074229
Bluff,-46.6,168.3333,57.99,75,98,6.4,NZ,1612074229
Yellowknife,62.456,-114.3525,-13.0,76,20,3.44,CA,1612074041
Mataura,-46.1927,168.8643,65.57,56,95,3.18,NZ,1612074229
Singapore,1.2897,103.8501,86.0,62,40,11.5,SG,1612074040
Cape Town,-33.9258,18.4232,69.01,88,90,12.66,ZA,1612074046
Severo-Kuril'sk,50.6789,156.125,24.03,95,100,38.77,RU,1612074230
Formosa do Rio Preto,-11.0483,-45.1931,75.85,56,64,1.7,BR,1612074230
Lebu,-37.6167,-73.65,55.42,88,4,13.04,CL,1612074231
Atuona,-9.8,-139.0333,79.23,76,78,17.72,PF,1612074040
Qarqīn,37.4185,66.0436,54.66,58,100,6.04,AF,1612074231
Angoche,-16.2325,39.9086,81.88,77,99,8.63,MZ,1612074228
Bathsheba,13.2167,-59.5167,78.8,73,40,21.85,BB,1612074035
Fairbanks,64.8378,-147.7164,-4.0,77,90,1.07,US,1612074231
Coyhaique,-45.5752,-72.0662,46.4,81,0,0.43,CL,1612074231
Coahuayana Viejo,18.7333,-103.6833,72.57,87,2,3.22,MX,1612074232
Morón,-34.6534,-58.6198,63.0,88,100,4.0,AR,1612074232
Deputatsky,69.3,139.9,-29.15,87,95,2.39,RU,1612074234
Longyearbyen,78.2186,15.6401,-5.8,49,20,20.71,SJ,1612074234
Isangel,-19.55,169.2667,80.6,83,75,17.49,VU,1612074234
Bariloche,-41.1456,-71.3082,50.0,87,40,4.61,AR,1612074235
Yasnyy,51.0333,59.8742,13.57,97,11,6.15,RU,1612074235
Punta Arenas,-53.15,-70.9167,48.2,71,0,28.77,CL,1612074235
